ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
   2653, 804372, 175650, 824350, 762156, 191858, 808142, 711080, 418960,   2653,Wirt
   2662, 755822, 225018, 774982, 710368, 237039, 762961, 727270, 439895,   2662,Gilmer
   2971, 795691, 191181, 808819, 705486, 233254, 766746, 951025, 289635,   2971,Calhoun
   3101, 844566, 140277, 859723, 805869, 144792, 855208, 693485, 477425,   3101,Doddridge
   3365, 796136, 190490, 809510, 730163, 229123, 770877, 829865, 306835,   3365,Clay
   3402, 810993, 179306, 820694, 714579, 196649, 803351, 982070, 413285,   3402,Webster
   3491, 785448, 200229, 799771, 739616, 205098, 794902, 729160, 475655,   3491,Pleasants
   3659, 760317, 224104, 775896, 739819, 217272, 782728, 602490, 534160,   3659,Pendleton
   3844, 739073, 244016, 755984, 703173, 242715, 757285, 679500, 506505,   3844,Tucker
   3922, 822539, 160887, 839113, 781489, 172870, 827130, 705250, 440085,   3922,Tyler
   4008, 722305, 261227, 738773, 661177, 268712, 731288, 805640, 462575,   4008,Pocahontas
   4283, 851972, 136819, 863181, 801774, 147793, 852207, 750990, 445130,   4283,Ritchie
   5509, 884189, 110183, 889817, 811944, 108549, 891451, 861225, 508170,   5509,Grant
   5585, 729453, 259265, 740735, 673589, 267502, 732498, 779320, 458815,   5585,Summers
   5664, 727401, 257238, 742762, 659074, 290607, 709393, 841635, 333155,   5664,Braxton
   5763, 731042, 252472, 747528, 693735, 271733, 728267, 686535, 403695,   5763,Roane
   6331, 767493, 218132, 781868, 755172, 211025, 788975, 561605, 535535,   6331,Hardy
   6490, 780893, 207241, 792759, 747919, 204160, 795840, 664870, 515405,   6490,Monroe
   6527, 788723, 204228, 795772, 678259, 209744, 790256,1052320, 472420,   6527,McDowell
   6667, 748912, 230838, 769162, 708264, 241037, 758963, 703240, 449005,   6667,Wetzel
   6677, 766212, 218211, 781789, 749737, 217163, 782837, 582375, 505240,   6677,Barbour
   7383, 741839, 243261, 756739, 729378, 229987, 770013, 562305, 566370,   7383,Taylor
   7457, 775378, 206249, 793751, 738098, 228510, 771490, 686400, 388695,   7457,Lewis
   7830, 767816, 218518, 781482, 705236, 235759, 764241, 812900, 413795,   7830,Lincoln
   8592, 855796, 134660, 865340, 753957, 172369, 827631,1009195, 311455,   8592,Wyoming
   8695, 751811, 229787, 770213, 736745, 224266, 775734, 575330, 527605,   8695,Morgan
   9012, 756324, 226475, 773525, 697514, 248446, 751554, 794050, 390145,   9012,Boone
  10022, 852524, 139393, 860607, 739572, 165735, 834265,1064760, 368290,  10022,Mingo
  10086, 796450, 192246, 807754, 764723, 188974, 811026, 658635, 516360,  10086,Hampshire
  10221, 760297, 220722, 779278, 735153, 222483, 777517, 625720, 491195,  10221,Upshur
  10630, 778833, 209407, 790593, 728222, 219285, 780715, 753055, 450610,  10630,Nicholas
  10656, 708051, 276557, 723443, 679710, 273367, 726633, 641705, 515950,  10656,Brooke
  11203, 757921, 225475, 774525, 721503, 233955, 766045, 682090, 457600,  11203,Mason
  12200, 710901, 275573, 724427, 678278, 283114, 716886, 663115, 462295,  12200,Randolph
  12872, 779987, 206650, 793350, 765459, 190957, 809043, 572640, 578465,  12872,Mineral
  13026, 808690, 179103, 820897, 706663, 188392, 811608,1010135, 453555,  13026,Logan
  13508, 747186, 237414, 762586, 716760, 248445, 751555, 652130, 444845,  13508,Jackson
  13800, 710579, 274637, 725363, 686594, 269855, 730145, 619925, 523910,  13800,Hancock
  14080, 741122, 245383, 754617, 736931, 231178, 768822, 520955, 571025,  14080,Marshall
  14572, 767911, 217060, 782940, 708207, 203678, 796322, 798520, 566910,  14572,Preston
  15850, 689274, 293690, 706310, 684037, 283280, 716720, 526185, 552050,  15850,Greenbrier
  16862, 686751, 300260, 699740, 644407, 304946, 695054, 711720, 476570,  16862,Fayette
  16947, 742609, 241222, 758778, 680179, 248421, 751579, 812150, 464005,  16947,Wayne
  19898, 620866, 363001, 636999, 666649, 310634, 689366, 271085, 761835,  19898,Ohio
  25134, 765377, 221055, 778945, 742022, 215246, 784754, 616775, 529045,  25134,Mercer
  25794, 631929, 345080, 654920, 637396, 317166, 682834, 472665, 639570,  25794,Marion
  27703, 542648, 437750, 562250, 565570, 406129, 593871, 385390, 658105,  27703,Jefferson
  28501, 702922, 276411, 723589, 682783, 283288, 716712, 600695, 465615,  28501,Putnam
  30465, 678910, 302478, 697522, 684949, 274544, 725456, 469805, 639670,  30465,Harrison
  33106, 745272, 241104, 758896, 704041, 251404, 748596, 706155, 448500,  33106,Raleigh
  37360, 581397, 401338, 598662, 597216, 368094, 631906, 420905, 666220,  37360,Cabell
  38762, 701769, 281874, 718126, 700092, 262834, 737166, 508385, 595200,  38762,Wood
  42072, 494461, 482078, 517922, 519942, 440934, 559066, 372595, 705720,  42072,Monongalia
  51535, 645755, 333482, 666518, 659105, 309440, 690560, 433250, 620210,  51535,Berkeley
  82244, 564150, 417586, 582414, 558071, 404771, 595229, 530395, 564075,  82244,Kanawha
